dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
d6475be8-9abd-4c2e-8089-fcd39a5a8272,AP State Public Grievance Redressal and Monitoring Mechanism,,Governance and Administration,Grievances|Redressal|Monitoring,,,1675336566,1675338238,"Public Grievance Redressal and Monitoring Mechanism in Andhra Pradesh, a reformed system for all departments in the Government which is centralized through an application. It integrates 26 departments with 106 HODs seamlessly which initiates re-engineering and digital transformation",https://www.data.gov.in/catalog/ap-state-public-grievance-redressal-and-monitoring-mechanism
144899af-a902-4d32-b5b9-be55140eecc5,Himachal Pradesh State Abstract - Industry and Mining,,Industries,Factory|Factory employment,,,1657966084,1665052038,Registered Factories and Workers,https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-industry-and-mining
884eabbd-e743-4911-92be-a27cc7fca0be,Himachal Pradesh State Abstract - Police and Crime,,Police,,,,1657965496,1660624177,Number of Police Stations and Posts,https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-police-and-crime
a5774bc3-de9b-470b-af77-3344468a1cea,HImachal Pradesh State Abstract - Power,,Power and Energy,electrified villages,,,1657964990,1660624099,Number of villages electrified,https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-power
bb0eb74d-4b94-49fe-b01c-11caeb06c2a3,Himachal Pradesh State Abstract - Food and Supply,,Public Distribution,Fair Price Shop District wise,,,1657956647,1660623771,Number of Fair price Shops,https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-food-and-supply
ddff14f7-73b5-4438-87fe-5297cf0d4408,Himachal Pradesh State Abstract - Labour and Employment,,Labour and Employment,Number of Employments,,,1657955981,1660624044,"Employment Exchanges, Registered in employment exchange, Placement in Govt. & Pvt. sector",https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-labour-and-employment
e8855d4d-02cc-4187-9811-2b8292f1dbba,Himachal Pradesh State Abstract - Horticulture,,Horticulture,Horticulture,,,1657954704,1660624751,District wise Area under different fruits during 2019-20,https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-horticulture
1273b005-8277-4e1e-958d-1b19c02828bf,Himachal Pradesh State Abstract - Tourism,,Travel and Tourism,Domestic Tourist Visits|Foreign Tourist Arrivals|Tourist |Hotel,,,1657015271,1739370846,This catalog contains number of hotels and beds capacity.,https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-tourism
3a04b8d8-a9ee-4bb6-82f8-b38ae27db017,Himachal Pradesh State Abstract - Health,,Health and Family welfare,health institutions ,,,1657014559,1657016094,this catalog contains number of health institutions and vital statistics.,https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-health
e4f76656-d070-4be1-9fed-bbd388855cb9,Himachal Pradesh State Abstract - Education,,Education,Enrolment,,,1657013269,1657016049,"This catalogue contains enrolment, number of schools, students and teachers",https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-education
9493de35-55bd-477f-97e8-71d6b543041f,Himachal Pradesh State Abstract - Agriculture,,Agriculture,area|Agriculture,,,1657003407,1739360435,"This catalog contains district-wise data on Area, Production of crops.",https://www.data.gov.in/catalog/himachal-pradesh-state-abstract-agriculture
c6a50e43-d5af-42af-8c26-5bd90094d3c7,Crop Survey of Uttar Kannada District of Karnataka For Rabi Season 2021-22,,Agriculture,district wise|Agriculture,,,1654063102,1658229413,"Crop Survey of Uttar Kannada District of Hobli wise details of crop survey id, district name, district code, village name, village code, taluk name, taluk code, Hobli code, Hobli name, latitude, longitude, season, season code, crop name, crop extent, crop survey date, month, week name, year-wise details",https://www.data.gov.in/catalog/crop-survey-uttar-kannada-district-karnataka-rabi-season-2021-22
cc8631b8-9ba0-4bc7-8a8c-ddeede375275,Crop Survey of Uttar Kannada District of Karnataka For Kharif Season 2021-22,,Agriculture,Agriculture|district wise|Question|Cybercrime|Abandon|Bhujal,,,1653994609,1739808639,"Crop Survey of Uttar Kannada District of Hobli wise details of crop survey id, district name, district code, village name, village code, taluk name, taluk code, Hobli code, Hobli name, latitude, longitude, season, season code, crop name, crop extent, crop survey date, month, week name, year-wise details",https://www.data.gov.in/catalog/crop-survey-uttar-kannada-district-karnataka-kharif-season-2021-22
b6b9204d-57b0-43ae-ab32-c4f3583bfc07,Crop Survey of Uttar Kannada District of Karnataka For Summer Season 2020-21,,Agriculture,Agriculture|district wise|Question|Cybercrime|Abandon|Bhujal,,,1653991894,1739808639,"Crop Survey of Uttar Kannada District of Hobli wise details of crop survey id, district name, district code, village name, village code, taluk name, taluk code, Hobli code, Hobli name, latitude, longitude, season, season code, crop name, crop extent, crop survey date, month, week name, year-wise details",https://www.data.gov.in/catalog/crop-survey-uttar-kannada-district-karnataka-summer-season-2020-21
1345d457-2e3a-40c2-acf4-e83589ced356,Crop Survey of Uttar Kannada District of Karnataka For Rabi Season 2019-20,,Agriculture,Agriculture|district wise|Question|Cybercrime|Abandon|Bhujal,,,1653978420,1739808639,"Crop Survey of Uttar Kannada District of Hobli wise details of crop survey id, district name, district code, village name, village code, taluk name, taluk code, Hobli code, Hobli name, latitude, longitude, season, season code, crop name, crop extent, crop survey date, month, week name, year-wise details",https://www.data.gov.in/catalog/crop-survey-uttar-kannada-district-karnataka-rabi-season-2019-20
28377715-7d46-49dd-9239-43552a926d78,Crop Survey of Uttar Kannada District of Karnataka For Kharif Season 2019-20,,Agriculture,Agriculture|district wise|Question|Cybercrime|Abandon|Bhujal,,,1653721488,1739808639,"Crop Survey of Uttar Kannada District of Hobli wise details of crop survey id, district name, district code, village name, village code, taluk name, taluk code, Hobli code, Hobli name, latitude, longitude, season, season code, crop name, crop extent, crop survey date, month, week name, year-wise details",https://www.data.gov.in/catalog/crop-survey-uttar-kannada-district-karnataka-kharif-season-2019-20
d774c774-9a16-4cd9-a760-32159a0b1daf,Crop Survey of Uttar Kannada District of Karnataka For Kharif Season 2018-19,,Agriculture,Agriculture|district wise|Question|Cybercrime|Abandon|Bhujal,,,1653709994,1739808639,"Crop Survey of Uttar Kannada District of Hobli wise details of crop survey id, district name, district code, village name, village code, taluk name, taluk code, Hobli code, Hobli name, latitude, longitude, season, season code, crop name, crop extent, crop survey date, month, week name, year-wise details",https://www.data.gov.in/catalog/crop-survey-uttar-kannada-district-karnataka-kharif-season-2018-19
9a8e0d06-67f8-4241-b289-09c279754916,Crop Survey of Uttar Kannada District of Karnataka For Kharif Season 2020-21,,Agriculture,Agriculture|district wise|season|Question|Cybercrime|Abandon,,,1648810167,1739808639,"Crop Survey of Uttar Kannada District of Hobli wise details of crop survey id, district name, district code, village name, village code, taluk name, taluk code, Hobli code, Hobli name, latitude, longitude, season, season code, crop name, crop extent, crop survey date, month, week name, year-wise details",https://www.data.gov.in/catalog/crop-survey-uttar-kannada-district-karnataka-kharif-season-2020-21-0
6bcceafa-cb6a-4ee4-b977-9c5a7fa835c3,Public Transport Accessibility Dharamshala,Ministry of Housing and Urban Affairs,Others,D38,,,1642780246,1643289215,Himachal Pradesh Transport Corporation Provides the accessibility of public transport,https://www.data.gov.in/catalog/public-transport-accessibility-dharamshala
